Sum of salary_usd,Column Labels,,,,,,,,,,,
Row Labels,EN,Grand Total,,,,,,,,,,
Australia,13525417,13525417,,Mean: ,11 736 494.80,,,,,,,
Austria,8848078,8848078,,Median:,12 148 775.50,,,,,,,
Canada,11682305,11682305,,"Mean and the Median are quite close, data = pretty normal and well distributed",,,,,,,,
China,9274940,9274940,,standard deviation: ,,2 784 919.18,,,,,,The german salary is above the average for entry level positions worldwide.
Denmark,14461907,14461907,,,,,,,,,,
Finland,7605825,7605825,,,,,,,,,,
France,12084844,12084844,,,,,,,,,,
Germany,12225691,12225691,,,,,,,,,,
India,8822682,8822682,,,,,,,,,,
Ireland,9443890,9443890,,,,,,,,,,
Israel,9338704,9338704,,,,,,,,,,
Japan,8539169,8539169,,,,,,,,,,
Netherlands,12972705,12972705,,,,,,,,,,
Norway,15741067,15741067,,,,,,,,,,
Singapore,13351984,13351984,,,,,,,,,,
South Korea,9346703,9346703,,,,,,,,,,
Sweden,12212707,12212707,,,,,,,,,,
Switzerland,18246435,18246435,,,,,,,,,,
United Kingdom,13024969,13024969,,,,,,,,,,
United States,13979874,13979874,,,,,,,,,,
Grand Total,234729896,234729896,,,,,,,,,,
